Date,Close,MIN.YEAR,Year,New.Year,Min,Min.Date,Max,Max.Date
12/21/2021,1.235,1/4/2021,,,,,,
12/22/2021,1.222,1/4/2021,,,,,,
12/23/2021,1.243,1/4/2021,,,,,,
12/27/2021,1.252,1/4/2021,,,,,,
12/28/2021,1.245,1/4/2021,,,,,,
12/29/2021,1.294,1/4/2021,,,,,,
12/30/2021,1.274,1/4/2021,,,,,,
12/31/2021,1.263,1/4/2021,,,,,,
1/3/2022,1.365,1/3/2022,,,,,,
1/4/2022,1.375,1/3/2022,,,,,,
1/5/2022,1.433,1/3/2022,,,,,,
1/6/2022,1.477,1/3/2022,,,,,,
1/7/2022,1.505,1/3/2022,,,,,,
1/10/2022,1.538,1/3/2022,,,,,,
1/11/2022,1.507,1/3/2022,,,,,,
1/12/2022,1.493,1/3/2022,,,,,,
1/13/2022,1.481,1/3/2022,,,,,,
1/14/2022,1.548,1/3/2022,,,,,,
1/18/2022,1.648,1/3/2022,,,,,,
1/19/2022,1.611,1/3/2022,,,,,,
1/20/2022,1.618,1/3/2022,,,,,,
1/21/2022,1.547,1/3/2022,,,,,,
1/24/2022,1.514,1/3/2022,,,,,,
1/25/2022,1.566,1/3/2022,,,,,,
1/26/2022,1.65,1/3/2022,,,,,,
1/27/2022,1.662,1/3/2022,,,,,,
1/28/2022,1.624,1/3/2022,,,,,,
1/31/2022,1.614,1/3/2022,,,,,,
2/1/2022,1.624,1/3/2022,,,,,,
2/2/2022,1.6,1/3/2022,,,,,,
2/3/2022,1.661,1/3/2022,,,,,,
2/4/2022,1.788,1/3/2022,,,,,,
2/7/2022,1.765,1/3/2022,,,,,,
2/8/2022,1.808,1/3/2022,,,,,,
2/9/2022,1.802,1/3/2022,,,,,,
2/10/2022,1.944,1/3/2022,,,,,,
2/11/2022,1.868,1/3/2022,,,,,,
2/14/2022,1.918,1/3/2022,,,,,,
2/15/2022,1.935,1/3/2022,,,,,,
2/16/2022,1.92,1/3/2022,,,,,,
2/17/2022,1.848,1/3/2022,,,,,,
2/18/2022,1.824,1/3/2022,,,,,,
2/22/2022,1.866,1/3/2022,,,,,,
2/23/2022,1.893,1/3/2022,,,,,,
2/24/2022,1.85,1/3/2022,,,,,,
2/25/2022,1.885,1/3/2022,,,,,,
2/28/2022,1.721,1/3/2022,,,,,,
3/1/2022,1.549,1/3/2022,,,,,,
3/2/2022,1.752,1/3/2022,,,,,,
3/3/2022,1.737,1/3/2022,,,,,,
3/7/2022,1.691,1/3/2022,,,,,,
3/8/2022,1.806,1/3/2022,,,,,,
3/9/2022,1.88,1/3/2022,,,,,,
3/10/2022,1.941,1/3/2022,,,,,,
3/11/2022,1.96,1/3/2022,,,,,,
3/14/2022,2.092,1/3/2022,,,,,,
3/15/2022,2.114,1/3/2022,,,,,,
3/16/2022,2.198,1/3/2022,,,,,,
3/17/2022,2.168,1/3/2022,,,,,,
3/18/2022,2.143,1/3/2022,,,,,,
3/21/2022,2.34,1/3/2022,,,,,,
3/22/2022,2.386,1/3/2022,,,,,,
3/23/2022,2.34,1/3/2022,,,,,,
3/24/2022,2.373,1/3/2022,,,,,,
3/25/2022,2.573,1/3/2022,,,,,,
3/28/2022,2.565,1/3/2022,,,,,,
3/29/2022,2.485,1/3/2022,,,,,,
3/30/2022,2.448,1/3/2022,,,,,,
3/31/2022,2.422,1/3/2022,,,,,,
4/1/2022,2.549,1/3/2022,,,,,,
4/5/2022,2.696,1/3/2022,,,,,,
4/6/2022,2.702,1/3/2022,,,,,,
4/7/2022,2.691,1/3/2022,,,,,,
4/8/2022,2.756,1/3/2022,,,,,,
4/11/2022,2.785,1/3/2022,,,,,,
4/12/2022,2.676,1/3/2022,,,,,,
4/13/2022,2.642,1/3/2022,,,,,,
4/14/2022,2.786,1/3/2022,,,,,,
4/18/2022,2.796,1/3/2022,,,,,,
4/19/2022,2.889,1/3/2022,,,,,,
4/20/2022,2.86,1/3/2022,,,,,,
4/21/2022,2.979,1/3/2022,,,,,,
4/22/2022,2.949,1/3/2022,,,,,,
4/25/2022,2.859,1/3/2022,,,,,,
4/26/2022,2.797,1/3/2022,,,,,,
4/28/2022,2.88,1/3/2022,,,,,,
4/29/2022,2.912,1/3/2022,,,,,,
5/2/2022,3.01,1/3/2022,,,,,,
5/3/2022,3.003,1/3/2022,,,,,,
5/4/2022,2.896,1/3/2022,,,,,,
5/5/2022,3.024,1/3/2022,,,,,,
5/6/2022,3.043,1/3/2022,,,,,,
5/9/2022,2.983,1/3/2022,,,,,,
5/10/2022,2.918,1/3/2022,,,,,,
5/11/2022,2.879,1/3/2022,,,,,,
5/12/2022,2.782,1/3/2022,,,,,,
